,Year,Player,Pos,Age,Tm,G,TS%,3P%,2P%
17851,2006,Ryan Gomes,PF,23,BOS,61,0.548,0.333,0.491
17852,2006,Drew Gooden,PF,24,CLE,79,0.552,0.333,0.513
17853,2006,Ben Gordon,SG,22,CHI,80,0.531,0.435,0.416
17854,2006,Joey Graham,SF,23,TOR,80,0.564,0.333,0.517
17855,2006,Stephen Graham,SG,23,TOT,22,0.479,0.2,0.432
17856,2006,Stephen Graham,SG,23,HOU,6,0.479,0.2,0.455
17857,2006,Stephen Graham,SG,23,CHI,3,0.425,0.25,0
17858,2006,Stephen Graham,SG,23,CLE,13,0.487,0,0.438
17859,2006,Danny Granger,SF,22,IND,78,0.54,0.323,0.496
17860,2006,Brian Grant,C,33,PHO,21,0.445,,0.415
17861,2006,Devin Green,SG,23,LAL,27,0.336,0,0.231
17862,2006,Gerald Green,SG,20,BOS,32,0.541,0.3,0.508
17863,2006,Willie Green,SG,24,PHI,10,0.513,0.526,0.383
17864,2006,Orien Greene,PG,23,BOS,80,0.449,0.225,0.427
17865,2006,Adrian Griffin,SG,31,DAL,52,0.521,0,0.485
17866,2006,Eddie Griffin,C,23,MIN,70,0.397,0.195,0.396
17867,2006,Anthony Grundy,SG,26,ATL,12,0.589,0.333,0.609
17868,2006,Richard Hamilton,SG,27,DET,80,0.553,0.458,0.494
17869,2006,Zendon Hamilton,C,30,TOT,12,0.593,,0.5
17870,2006,Zendon Hamilton,C,30,CLE,11,0.624,,0.538
17871,2006,Zendon Hamilton,C,30,PHI,1,0.266,,0
17872,2006,Anfernee Hardaway,SF,34,NYK,4,0.336,0,0.308
17873,2006,Matt Harpring,SF,29,UTA,71,0.542,0.359,0.482
17874,2006,Al Harrington,PF,25,ATL,76,0.513,0.346,0.471
17875,2006,Othella Harrington,C,32,CHI,72,0.53,,0.495
17876,2006,Devin Harris,PG,22,DAL,56,0.544,0.238,0.482
17877,2006,David Harrison,C,23,IND,67,0.519,,0.503
17878,2006,Jason Hart,PG,27,SAC,66,0.444,0.29,0.405
17879,2006,Udonis Haslem,PF,25,MIA,81,0.558,0,0.509
17880,2006,Trenton Hassell,SG,26,MIN,77,0.512,0.304,0.47
17881,2006,Chuck Hayes,PF,22,HOU,40,0.589,0,0.567
17882,2006,Jarvis Hayes,SG,24,WAS,21,0.499,0.362,0.441
17883,2006,Brendan Haywood,C,26,WAS,79,0.542,,0.514
17884,2006,Luther Head,SG,23,HOU,80,0.517,0.361,0.445
17885,2006,Alan Henderson,C,33,CLE,51,0.564,,0.516
17886,2006,Nene Hilario,PF,23,DEN,1,0,,0
17887,2006,Grant Hill,SF,33,ORL,21,0.552,0.25,0.498
17888,2006,Kirk Hinrich,PG,25,CHI,81,0.528,0.37,0.441
17889,2006,Julius Hodge,SG,22,DEN,14,0.393,,0.385
17890,2006,Randy Holcomb,SF,26,CHI,4,1,,1
17891,2006,Robert Horry,PF,35,SAS,63,0.499,0.368,0.399
17892,2006,Eddie House,PG,27,PHO,81,0.512,0.389,0.445
17893,2006,Dwight Howard,PF,20,ORL,82,0.565,0,0.532
17894,2006,Josh Howard,SF,25,DAL,59,0.536,0.429,0.475
17895,2006,Juwan Howard,PF,32,HOU,80,0.499,0,0.461
17896,2006,Troy Hudson,PG,29,MIN,36,0.48,0.396,0.375
17897,2006,Larry Hughes,SG,27,CLE,36,0.504,0.368,0.417
17898,2006,Kris Humphries,PF,20,UTA,62,0.406,0,0.389
17899,2006,Lindsey Hunter,PG,35,DET,30,0.427,0.256,0.456
17900,2006,Steven Hunter,C,24,PHI,69,0.598,,0.601
17901,2006,Andre Iguodala,SF,22,PHI,82,0.598,0.354,0.543
17902,2006,Zydrunas Ilgauskas,C,30,CLE,78,0.576,0,0.509
17903,2006,Didier Ilunga-Mbenga,C,25,DAL,43,0.538,0,0.542
17904,2006,Allen Iverson*,PG,30,PHI,72,0.543,0.323,0.465
17905,2006,Royal Ivey,PG,24,ATL,73,0.467,0.4,0.441
17906,2006,Jarrett Jack,SG,22,POR,79,0.528,0.263,0.48
17907,2006,Bobby Jackson,PG,32,MEM,71,0.497,0.389,0.377
17908,2006,Jermaine Jackson,PG,29,MIL,30,0.544,0.25,0.455
17909,2006,Jim Jackson,SF,35,TOT,40,0.365,0.243,0.337
17910,2006,Jim Jackson,SF,35,PHO,27,0.367,0.222,0.364
17911,2006,Jim Jackson,SF,35,LAL,13,0.355,0.364,0.25
17912,2006,Luke Jackson,SF,24,CLE,36,0.482,0.333,0.347
17913,2006,Marc Jackson,C,31,TOT,64,0.512,0.5,0.471
17914,2006,Marc Jackson,C,31,NJN,37,0.503,,0.446
17915,2006,Marc Jackson,C,31,NOK,27,0.519,0.5,0.489
17916,2006,Stephen Jackson,SG,27,IND,81,0.512,0.345,0.439
17917,2006,Jerome James,C,30,NYK,45,0.494,,0.463
17918,2006,LeBron James,SF,21,CLE,79,0.568,0.335,0.518
17919,2006,Mike James,PG,30,TOR,79,0.583,0.442,0.481
17920,2006,Antawn Jamison,SF,29,WAS,82,0.518,0.394,0.458
17921,2006,Marko Jaric,PG,27,MIN,75,0.468,0.301,0.43
17922,2006,Sarunas Jasikevicius,PG,29,IND,75,0.561,0.364,0.435
17923,2006,Al Jefferson,PF,21,BOS,59,0.53,0,0.504
17924,2006,Richard Jefferson,SF,25,NJN,78,0.603,0.319,0.532
17925,2006,Jared Jeffries,PF,24,WAS,77,0.5,0.32,0.468
17926,2006,Amir Johnson,SF,18,DET,3,0.85,0.667,0.714
17927,2006,Anthony Johnson,PG,31,IND,75,0.52,0.329,0.482
17928,2006,DerMarr Johnson,SG,25,DEN,58,0.545,0.35,0.521
17929,2006,Ervin Johnson,C,38,MIL,18,0.419,,0.412
17930,2006,Joe Johnson,SG,24,ATL,82,0.537,0.356,0.487
17931,2006,Linton Johnson,SF,25,TOT,36,0.476,0.361,0.425
17932,2006,Linton Johnson,SF,25,NJN,9,0.468,,0.5
17933,2006,Linton Johnson,SF,25,NOK,27,0.476,0.361,0.417
17934,2006,Dahntay Jones,SF,25,MEM,71,0.462,0.143,0.438
17935,2006,Damon Jones,PG,29,CLE,82,0.538,0.377,0.417
17936,2006,Dwayne Jones,PF,22,BOS,14,0.445,,0.4
17937,2006,Eddie Jones,SG,34,MEM,75,0.542,0.356,0.457
17938,2006,Fred Jones,SG,26,IND,68,0.517,0.337,0.457
17939,2006,James Jones,SF,25,PHO,75,0.551,0.386,0.449
17940,2006,Jumaine Jones,PF,26,CHA,76,0.506,0.343,0.456
17941,2006,Chris Kaman,C,23,LAC,78,0.57,0,0.524
17942,2006,Jason Kapono,SF,24,MIA,51,0.54,0.396,0.468
17943,2006,Mario Kasun,C,25,ORL,28,0.506,,0.449
17944,2006,Viktor Khryapa,SF,23,POR,69,0.516,0.333,0.474
17945,2006,Jason Kidd,PG,32,NJN,80,0.526,0.352,0.445
17946,2006,Andrei Kirilenko,SF,24,UTA,69,0.556,0.308,0.489
17947,2006,Linas Kleiza,PF,21,DEN,61,0.51,0.154,0.469
17948,2006,Brevin Knight,PG,30,CHA,69,0.478,0.231,0.402
17949,2006,Yaroslav Korolev,SF,18,LAC,24,0.392,0.286,0.304
17950,2006,Kyle Korver,SF,24,PHI,82,0.577,0.42,0.443
17951,2006,Nenad Krstic,PF,22,NJN,80,0.541,0.25,0.509
17952,2006,Toni Kukoc,PF,37,MIL,65,0.491,0.306,0.47
17953,2006,Raef LaFrentz,PF,29,BOS,82,0.546,0.392,0.474
17954,2006,Maciej Lampe,C,20,TOT,6,0.168,,0.182
17955,2006,Maciej Lampe,C,20,NOK,2,0,,0
17956,2006,Maciej Lampe,C,20,HOU,4,0.254,,0.286
17957,2006,David Lee,SF,22,NYK,67,0.607,,0.596
17958,2006,Voshon Lenard,SG,32,TOT,26,0.467,0.321,0.442
17959,2006,Voshon Lenard,SG,32,DEN,12,0.455,0.286,0.471
17960,2006,Voshon Lenard,SG,32,POR,14,0.48,0.349,0.4
17961,2006,Rashard Lewis,SF,26,SEA,78,0.585,0.384,0.507
17962,2006,Randy Livingston,PG,30,CHI,5,0,,0
17963,2006,Shaun Livingston,PG,20,LAC,61,0.46,0.125,0.434
17964,2006,John Lucas,PG,23,HOU,13,0.417,0.222,0.444
17965,2006,Tyronn Lue,PG,28,ATL,51,0.585,0.457,0.46
17966,2006,Arvydas Macijauskas,SG,26,NOK,19,0.462,0.25,0.379
17967,2006,Mark Madsen,C,30,MIN,62,0.427,0,0.458
17968,2006,Corey Maggette,SF,26,LAC,32,0.584,0.338,0.47
17969,2006,Jamaal Magloire,C,27,MIL,82,0.494,,0.467
17970,2006,Stephon Marbury,PG,28,NYK,60,0.532,0.317,0.472
17971,2006,Shawn Marion,PF,27,PHO,81,0.591,0.331,0.577
17972,2006,Sean Marks,PF,30,SAS,25,0.531,0,0.544
17973,2006,Donyell Marshall,PF,32,CLE,81,0.517,0.324,0.496
17974,2006,Rawle Marshall,SF,23,DAL,23,0.488,0.333,0.404
17975,2006,Darrick Martin,PG,34,TOR,40,0.474,0.4,0.316
17976,2006,Kenyon Martin,PF,28,DEN,56,0.533,0.227,0.505
17977,2006,Kevin Martin,SG,22,SAC,72,0.604,0.369,0.534
17978,2006,Desmond Mason,SF,28,NOK,70,0.46,0.167,0.401
17979,2006,Jason Maxiell,PF,22,DET,26,0.414,,0.426
17980,2006,Sean May,PF,21,CHA,23,0.474,0,0.422
17981,2006,Rashad McCants,SG,21,MIN,79,0.539,0.372,0.49
17982,2006,Walter McCarty,SF,31,LAC,36,0.407,0.222,0.426
17983,2006,Antonio McDyess,PF,31,DET,82,0.52,0,0.511
17984,2006,Tracy McGrady,SF,26,HOU,47,0.494,0.312,0.434
17985,2006,Jeff McInnis,SG,31,NJN,28,0.478,0.188,0.472
17986,2006,Aaron McKie,PG,33,LAL,14,0.272,0,0.3
17987,2006,Keith McLeod,PG,26,UTA,66,0.464,0.293,0.372
17988,2006,Stanislav Medvedenko,PF,26,LAL,2,0.5,,0.5
17989,2006,Chris Mihm,C,26,LAL,59,0.552,,0.501
17990,2006,Aaron Miles,PG,22,GSW,19,0.405,,0.333
17991,2006,C.J. Miles,PG,18,UTA,23,0.456,0.25,0.411
17992,2006,Darius Miles,SF,24,POR,40,0.48,0.2,0.466
17993,2006,Darko Milicic,C,20,TOT,55,0.52,0,0.513
17994,2006,Darko Milicic,C,20,DET,25,0.507,0,0.548
17995,2006,Darko Milicic,C,20,ORL,30,0.522,,0.507
17996,2006,Andre Miller,PG,29,DEN,82,0.532,0.185,0.472
17997,2006,Brad Miller,C,29,SAC,79,0.576,0.386,0.507
17998,2006,Mike Miller,SG,25,MEM,74,0.595,0.407,0.513
17999,2006,Yao Ming*,C,25,HOU,57,0.592,0,0.519
18000,2006,Cuttino Mobley,SF,30,LAC,79,0.519,0.339,0.453
18001,2006,Nazr Mohammed,C,28,SAS,80,0.56,,0.504
18002,2006,Sergei Monia,SF,22,TOT,26,0.413,0.265,0.377
18003,2006,Sergei Monia,SF,22,POR,23,0.415,0.273,0.385
18004,2006,Sergei Monia,SF,22,SAC,3,0.347,0,0
18005,2006,Mikki Moore,C,30,SEA,47,0.509,0,0.443
18006,2006,Terence Morris,SF,27,ORL,22,0.348,0,0.34
18007,2006,Alonzo Mourning*,C,35,MIA,65,0.615,0,0.599
18008,2006,Troy Murphy,PF,25,GSW,74,0.529,0.32,0.464
18009,2006,Lamond Murray,SF,32,NJN,57,0.493,0.346,0.437
18010,2006,Ronald Murray,SG,26,TOT,76,0.487,0.262,0.453
18011,2006,Ronald Murray,SG,26,SEA,48,0.463,0.224,0.432
18012,2006,Ronald Murray,SG,26,CLE,28,0.52,0.308,0.484
18013,2006,Dikembe Mutombo*,C,39,HOU,64,0.626,,0.526
18014,2006,Boniface N'Dong,C,28,LAC,23,0.439,0,0.423
18015,2006,Bostjan Nachbar,PF-SF,25,TOT,36,0.448,0.268,0.412
18016,2006,Bostjan Nachbar,PF,25,NOK,25,0.451,0.298,0.373
18017,2006,Bostjan Nachbar,SF,25,NJN,11,0.436,0.143,0.556
18018,2006,Lee Nailon,PF,30,PHI,22,0.537,,0.5
18019,2006,Eduardo Najera,PF,29,DEN,64,0.494,0.333,0.426
18020,2006,Steve Nash,PG,31,PHO,79,0.632,0.439,0.548
18021,2006,Jameer Nelson,PG,23,ORL,62,0.567,0.424,0.5
18022,2006,Rasho Nesterovic,C,29,SAS,80,0.521,0,0.518
18023,2006,Ira Newble,SG,31,CLE,36,0.375,0.231,0.318
18024,2006,Andres Nocioni,PF,26,CHI,82,0.567,0.391,0.489
18025,2006,Moochie Norris,PG,32,TOT,45,0.479,0.286,0.429
18026,2006,Moochie Norris,PG,32,HOU,29,0.448,0,0.433
18027,2006,Moochie Norris,PG,32,NOK,16,0.517,0.444,0.421
18028,2006,Dirk Nowitzki,PF,27,DAL,81,0.589,0.406,0.496
18029,2006,Jermaine O'Neal,PF,27,IND,51,0.53,0.3,0.474
18030,2006,Shaquille O'Neal*,C,33,MIA,59,0.586,,0.6
18031,2006,Fabricio Oberto,C,30,SAS,59,0.491,0,0.484
18032,2006,Lamar Odom,PF,26,LAL,80,0.558,0.372,0.514
18033,2006,Emeka Okafor,PF,23,CHA,26,0.464,,0.415
18034,2006,Mehmet Okur,PF,26,UTA,82,0.554,0.342,0.491
18035,2006,Kevin Ollie,SG,33,PHI,70,0.491,0.333,0.433
18036,2006,Michael Olowokandi,C,30,TOT,48,0.456,,0.446
18037,2006,Michael Olowokandi,C,30,MIN,32,0.455,,0.446
18038,2006,Michael Olowokandi,C,30,BOS,16,0.464,,0.444
18039,2006,Greg Ostertag,C,32,UTA,60,0.503,,0.492
18040,2006,Bo Outlaw,PF,34,ORL,32,0.61,,0.603
18041,2006,Travis Outlaw,PF,21,POR,69,0.491,0.264,0.47
18042,2006,Andre Owens,PG,25,UTA,23,0.421,0.188,0.414
18043,2006,Zaza Pachulia,C,21,ATL,78,0.53,0,0.452
18044,2006,Scott Padgett,PF,29,NJN,62,0.489,0.347,0.363
