Year,Player,Age,Tm,G
17926,2006,Amir Johnson,18,DET,3
17927,2006,Anthony Johnson,31,IND,75
17928,2006,DerMarr Johnson,25,DEN,58
17929,2006,Ervin Johnson,38,MIL,18
17930,2006,Joe Johnson,24,ATL,82
17931,2006,Linton Johnson,25,TOT,36
17932,2006,Linton Johnson,25,NJN,9
17933,2006,Linton Johnson,25,NOK,27
17934,2006,Dahntay Jones,25,MEM,71
17935,2006,Damon Jones,29,CLE,82
17936,2006,Dwayne Jones,22,BOS,14
17937,2006,Eddie Jones,34,MEM,75
17938,2006,Fred Jones,26,IND,68
17939,2006,James Jones,25,PHO,75
17940,2006,Jumaine Jones,26,CHA,76
17941,2006,Chris Kaman,23,LAC,78
17942,2006,Jason Kapono,24,MIA,51
17943,2006,Mario Kasun,25,ORL,28
17944,2006,Viktor Khryapa,23,POR,69
17945,2006,Jason Kidd,32,NJN,80
17946,2006,Andrei Kirilenko,24,UTA,69
17947,2006,Linas Kleiza,21,DEN,61
17948,2006,Brevin Knight,30,CHA,69
17949,2006,Yaroslav Korolev,18,LAC,24
17950,2006,Kyle Korver,24,PHI,82
17951,2006,Nenad Krstic,22,NJN,80
17952,2006,Toni Kukoc,37,MIL,65
17953,2006,Raef LaFrentz,29,BOS,82
17954,2006,Maciej Lampe,20,TOT,6
17955,2006,Maciej Lampe,20,NOK,2
17956,2006,Maciej Lampe,20,HOU,4
17957,2006,David Lee,22,NYK,67
17958,2006,Voshon Lenard,32,TOT,26
17959,2006,Voshon Lenard,32,DEN,12
17960,2006,Voshon Lenard,32,POR,14
17961,2006,Rashard Lewis,26,SEA,78
17962,2006,Randy Livingston,30,CHI,5
17963,2006,Shaun Livingston,20,LAC,61
17964,2006,John Lucas,23,HOU,13
17965,2006,Tyronn Lue,28,ATL,51
17966,2006,Arvydas Macijauskas,26,NOK,19
17967,2006,Mark Madsen,30,MIN,62
17968,2006,Corey Maggette,26,LAC,32
17969,2006,Jamaal Magloire,27,MIL,82
17970,2006,Stephon Marbury,28,NYK,60
17971,2006,Shawn Marion,27,PHO,81
17972,2006,Sean Marks,30,SAS,25
17973,2006,Donyell Marshall,32,CLE,81
17974,2006,Rawle Marshall,23,DAL,23
17975,2006,Darrick Martin,34,TOR,40
17976,2006,Kenyon Martin,28,DEN,56
17977,2006,Kevin Martin,22,SAC,72
17978,2006,Desmond Mason,28,NOK,70
17979,2006,Jason Maxiell,22,DET,26
17980,2006,Sean May,21,CHA,23
17981,2006,Rashad McCants,21,MIN,79
17982,2006,Walter McCarty,31,LAC,36
17983,2006,Antonio McDyess,31,DET,82
17984,2006,Tracy McGrady,26,HOU,47
17985,2006,Jeff McInnis,31,NJN,28
17986,2006,Aaron McKie,33,LAL,14
17987,2006,Keith McLeod,26,UTA,66
17988,2006,Stanislav Medvedenko,26,LAL,2
17989,2006,Chris Mihm,26,LAL,59
17990,2006,Aaron Miles,22,GSW,19
17991,2006,C.J. Miles,18,UTA,23
17992,2006,Darius Miles,24,POR,40
17993,2006,Darko Milicic,20,TOT,55
17994,2006,Darko Milicic,20,DET,25
17995,2006,Darko Milicic,20,ORL,30
17996,2006,Andre Miller,29,DEN,82
17997,2006,Brad Miller,29,SAC,79
17998,2006,Mike Miller,25,MEM,74
17999,2006,Yao Ming*,25,HOU,57
18000,2006,Cuttino Mobley,30,LAC,79
18001,2006,Nazr Mohammed,28,SAS,80
18002,2006,Sergei Monia,22,TOT,26
18003,2006,Sergei Monia,22,POR,23
18004,2006,Sergei Monia,22,SAC,3
18005,2006,Mikki Moore,30,SEA,47
18006,2006,Terence Morris,27,ORL,22
18007,2006,Alonzo Mourning*,35,MIA,65
18008,2006,Troy Murphy,25,GSW,74
18009,2006,Lamond Murray,32,NJN,57
18010,2006,Ronald Murray,26,TOT,76
18011,2006,Ronald Murray,26,SEA,48
18012,2006,Ronald Murray,26,CLE,28
18013,2006,Dikembe Mutombo*,39,HOU,64
18014,2006,Boniface N'Dong,28,LAC,23
18015,2006,Bostjan Nachbar,25,TOT,36
18016,2006,Bostjan Nachbar,25,NOK,25
18017,2006,Bostjan Nachbar,25,NJN,11
18018,2006,Lee Nailon,30,PHI,22
18019,2006,Eduardo Najera,29,DEN,64
18020,2006,Steve Nash,31,PHO,79
18021,2006,Jameer Nelson,23,ORL,62
18022,2006,Rasho Nesterovic,29,SAS,80
18023,2006,Ira Newble,31,CLE,36
18024,2006,Andres Nocioni,26,CHI,82
18025,2006,Moochie Norris,32,TOT,45
18026,2006,Moochie Norris,32,HOU,29
18027,2006,Moochie Norris,32,NOK,16
18028,2006,Dirk Nowitzki,27,DAL,81
18029,2006,Jermaine O'Neal,27,IND,51
18030,2006,Shaquille O'Neal*,33,MIA,59
18031,2006,Fabricio Oberto,30,SAS,59
18032,2006,Lamar Odom,26,LAL,80
18033,2006,Emeka Okafor,23,CHA,26
18034,2006,Mehmet Okur,26,UTA,82
18035,2006,Kevin Ollie,33,PHI,70
18036,2006,Michael Olowokandi,30,TOT,48
18037,2006,Michael Olowokandi,30,MIN,32
18038,2006,Michael Olowokandi,30,BOS,16
18039,2006,Greg Ostertag,32,UTA,60
18040,2006,Bo Outlaw,34,ORL,32
18041,2006,Travis Outlaw,21,POR,69
18042,2006,Andre Owens,25,UTA,23
18043,2006,Zaza Pachulia,21,ATL,78
18044,2006,Scott Padgett,29,NJN,62
18045,2006,Milt Palacio,27,UTA,71
18046,2006,Jannero Pargo,26,CHI,57
18047,2006,Smush Parker,24,LAL,82
18048,2006,Tony Parker,23,SAS,80
18049,2006,Ruben Patterson,30,TOT,71
18050,2006,Ruben Patterson,30,POR,45
18051,2006,Ruben Patterson,30,DEN,26
18052,2006,Chris Paul,20,NOK,78
18053,2006,Sasha Pavlovic,22,CLE,53
18054,2006,Gary Payton*,37,MIA,81
18055,2006,Kendrick Perkins,21,BOS,68
18056,2006,Morris Peterson,28,TOR,82
18057,2006,Johan Petro,20,SEA,68
18058,2006,Eric Piatkowski,35,CHI,29
18059,2006,Paul Pierce,28,BOS,79
18060,2006,Mickael Pietrus,23,GSW,52
18061,2006,Zoran Planinic,23,NJN,56
18062,2006,Pavel Podkolzin,21,DAL,1
18063,2006,Scot Pollard,30,IND,45
18064,2006,James Posey,29,MIA,67
18065,2006,Vitaly Potapenko,30,TOT,33
18066,2006,Vitaly Potapenko,30,SEA,24
18067,2006,Vitaly Potapenko,30,SAC,9
18068,2006,Josh Powell,23,DAL,37
18069,2006,Ronnie Price,22,SAC,29
18070,2006,Tayshaun Prince,25,DET,82
18071,2006,Laron Profit,28,LAL,25
18072,2006,Joel Przybilla,26,POR,56
18073,2006,Vladimir Radmanovic,25,TOT,77
18074,2006,Vladimir Radmanovic,25,SEA,47
18075,2006,Vladimir Radmanovic,25,LAC,30
18076,2006,Shavlik Randolph,22,PHI,57
18077,2006,Zach Randolph,24,POR,74
18078,2006,Theo Ratliff,32,POR,55
18079,2006,Zeljko Rebraca,33,LAC,29
18080,2006,Michael Redd,26,MIL,80
18081,2006,Justin Reed,24,TOT,72
18082,2006,Justin Reed,24,BOS,32
18083,2006,Justin Reed,24,MIN,40
18084,2006,Jason Richardson,25,GSW,75
18085,2006,Quentin Richardson,25,NYK,55
18086,2006,Luke Ridnour,24,SEA,79
18087,2006,Anthony Roberson,22,MEM,16
18088,2006,Lawrence Roberts,23,MEM,33
18089,2006,Bernard Robinson,25,CHA,66
18090,2006,Clifford Robinson,39,NJN,80
18091,2006,Nate Robinson,21,NYK,72
18092,2006,Jalen Rose,33,TOT,72
18093,2006,Jalen Rose,33,TOR,46
18094,2006,Jalen Rose,33,NYK,26
18095,2006,Malik Rose,31,NYK,72
18096,2006,Quinton Ross,24,LAC,67
18097,2006,Michael Ruffin,29,WAS,76
18098,2006,Kareem Rush,25,CHA,47
18099,2006,Bryon Russell,35,DEN,1
18100,2006,John Salmons,26,PHI,82
18101,2006,Jamal Sampson,22,SAC,12
18102,2006,Melvin Sanders,25,SAS,16
18103,2006,Brian Scalabrine,27,BOS,71
18104,2006,Alex Scales,27,SAS,1
18105,2006,Luke Schenscher,23,CHI,20
18106,2006,Ha Seung-Jin,20,POR,27
